Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,79.629997,81.449997,79.620003,81.419998,81.419998,725200
2020-01-31,81.470001,81.550003,80.464996,80.790001,80.790001,960800
2020-02-03,81.000000,82.209999,80.889999,81.580002,81.580002,1105700
2020-02-04,82.360001,83.389999,82.269997,82.680000,82.680000,788900
2020-02-05,83.169998,83.620003,81.500000,81.669998,81.669998,831800
2020-02-06,81.470001,83.250000,81.470001,82.339996,82.339996,520000
2020-02-07,82.209999,82.879997,81.900002,82.580002,82.580002,547800
2020-02-10,82.610001,83.650002,82.610001,82.870003,82.870003,800700
2020-02-11,82.900002,83.430000,82.485001,83.120003,83.120003,948500
2020-02-12,83.370003,84.800003,82.919998,84.650002,84.650002,1088500
2020-02-13,84.199997,85.129997,83.820000,84.500000,84.500000,772900
2020-02-14,84.440002,86.459999,83.750000,86.459999,86.459999,924900
2020-02-18,86.500000,88.199997,86.309998,87.940002,87.940002,1133600
2020-02-19,87.900002,88.769997,87.750000,87.849998,87.849998,1061400
2020-02-20,87.970001,88.470001,86.330002,88.040001,88.040001,831100
2020-02-21,88.000000,88.330002,86.860001,87.519997,87.519997,774600
2020-02-24,82.959999,86.290001,81.279999,84.239998,84.239998,1875600
2020-02-25,84.970001,85.279999,80.849998,81.169998,81.169998,2332800
2020-02-26,77.400002,78.470001,75.059998,75.769997,75.769997,4428500
2020-02-27,72.160004,74.709999,70.900002,72.070000,72.070000,3752300
2020-02-28,69.959999,70.000000,65.879997,67.489998,67.489998,3305100
2020-03-02,67.839996,68.690002,64.239998,68.480003,68.480003,2959200
2020-03-03,69.320000,71.349998,67.419998,67.849998,67.849998,3302500
2020-03-04,68.750000,70.000000,66.900002,69.879997,69.879997,1695700
2020-03-05,68.300003,68.300003,61.560001,62.500000,62.500000,3427600
2020-03-06,62.020000,66.830002,60.119999,64.349998,64.349998,3591200
2020-03-09,59.860001,60.000000,55.490002,56.650002,56.650002,2853800
2020-03-10,59.209999,62.779999,57.599998,62.630001,62.630001,3246100
2020-03-11,60.759998,60.875000,56.360001,57.000000,57.000000,2594600
2020-03-12,51.740002,52.014999,46.169998,48.320000,48.320000,3391100
2020-03-13,52.430000,54.959999,49.209999,53.980000,53.980000,2882700
2020-03-16,46.009998,46.009998,35.915001,38.799999,38.799999,5487100
2020-03-17,38.400002,38.430000,27.790001,35.389999,35.389999,8239400
2020-03-18,26.750000,29.990000,23.770000,27.540001,27.540001,5877500
2020-03-19,27.110001,34.279999,25.370001,32.610001,32.610001,6835600
2020-03-20,33.639999,36.529999,32.009998,33.930000,33.930000,7991500
2020-03-23,33.099998,38.456001,31.219999,37.470001,37.470001,3569600
2020-03-24,41.000000,47.205002,40.000000,46.230000,46.230000,4719300
2020-03-25,47.580002,53.299999,41.410000,50.330002,50.330002,4185000
2020-03-26,51.500000,52.990002,49.040001,52.380001,52.380001,3912800
2020-03-27,47.139999,52.116001,45.750000,50.419998,50.419998,2574700
2020-03-30,48.610001,50.060001,46.160000,48.599998,48.599998,2742900
2020-03-31,48.189999,51.930000,47.590000,48.700001,48.700001,2903200
2020-04-01,45.770000,45.779999,42.040001,42.340000,42.340000,3415300
2020-04-02,40.500000,42.689999,39.044998,39.840000,39.840000,2915400
2020-04-03,40.070000,40.150002,36.410000,36.959999,36.959999,3144200
2020-04-06,41.040001,43.200001,40.360001,42.560001,42.560001,4553600
2020-04-07,46.820000,50.509998,44.439999,45.869999,45.869999,4617200
2020-04-08,48.130001,52.720001,47.410000,52.060001,52.060001,2896300
2020-04-09,55.660000,57.681999,53.509998,55.590000,55.590000,4121500
2020-04-13,55.369999,55.599998,52.810001,54.180000,54.180000,2530300
2020-04-14,55.200001,58.180000,54.759998,55.320000,55.320000,3235700
2020-04-15,52.200001,53.970001,51.560001,52.000000,52.000000,2102800
2020-04-16,52.740002,52.757999,49.020000,50.099998,50.099998,2647200
2020-04-17,57.259998,57.869999,54.160000,56.570000,56.570000,3285600
2020-04-20,53.980000,56.700001,53.660000,56.099998,56.099998,2725200
2020-04-21,54.750000,56.320000,53.230000,55.220001,55.220001,1882000
2020-04-22,56.240002,58.090000,55.389999,57.430000,57.430000,1648800
2020-04-23,58.340000,58.675999,55.820000,57.040001,57.040001,2490600
2020-04-24,56.910000,58.720001,55.516998,57.900002,57.900002,2110800
2020-04-27,59.250000,62.900002,58.930000,62.439999,62.439999,2358900
2020-04-28,64.480003,64.860001,58.470001,60.439999,60.439999,2810600
2020-04-29,64.430000,66.279999,63.630001,64.230003,64.230003,2504600
2020-04-30,62.970001,63.630001,59.650002,60.330002,60.330002,2023000
2020-05-01,58.380001,58.424999,54.869999,57.619999,57.619999,2159200
2020-05-04,55.110001,57.470001,53.840000,57.439999,57.439999,2019400
2020-05-05,58.580002,59.410000,56.119999,57.080002,57.080002,2333300
2020-05-06,56.080002,61.759998,55.139999,60.400002,60.400002,3943800
2020-05-07,61.529999,62.889999,60.630001,61.139999,61.139999,3281500
2020-05-08,62.200001,62.389999,60.139999,60.220001,60.220001,1629100
2020-05-11,59.299999,59.590000,58.070000,58.099998,58.099998,1670300
2020-05-12,58.529999,58.910000,51.700001,52.009998,52.009998,3861000
2020-05-13,51.209999,51.419998,47.048000,47.919998,47.919998,4810300
2020-05-14,47.130001,51.419998,45.869999,51.009998,51.009998,4189000
2020-05-15,50.000000,53.200001,49.400002,52.320000,52.320000,2925300
2020-05-18,56.820000,59.689999,55.939999,57.700001,57.700001,3162200
2020-05-19,58.099998,59.092999,56.689999,57.540001,57.540001,2706500
2020-05-20,58.779999,61.424999,58.590000,60.919998,60.919998,2839200
2020-05-21,61.000000,61.639999,59.290001,61.349998,61.349998,2898400
2020-05-22,61.660000,63.799999,60.810001,62.959999,62.959999,1687600
2020-05-26,66.059998,66.879997,63.209999,63.230000,63.230000,2052300
2020-05-27,64.839996,65.870003,60.689999,65.169998,65.169998,2423600
2020-05-28,64.629997,66.580002,64.269997,64.989998,64.989998,1639400
2020-05-29,64.400002,65.879997,63.959999,64.629997,64.629997,1868900
2020-06-01,64.849998,69.110001,64.470001,67.589996,67.589996,3111900
2020-06-02,69.000000,74.459999,68.540001,73.980003,73.980003,5107700
2020-06-03,75.510002,78.160004,75.010002,77.180000,77.180000,3506400
2020-06-04,75.940002,75.940002,73.180000,73.550003,73.550003,3212400
2020-06-05,78.699997,80.599998,74.239998,75.150002,75.150002,2745000
2020-06-08,77.849998,77.849998,72.059998,72.970001,72.970001,2052100
2020-06-09,71.209999,72.930000,69.750000,70.269997,70.269997,2323700
2020-06-10,71.059998,71.139999,67.269997,69.860001,69.860001,2124200
2020-06-11,64.610001,67.900002,64.059998,65.300003,65.300003,2774600
2020-06-12,68.330002,68.910004,64.910004,66.900002,66.900002,1229400
2020-06-15,62.889999,69.750000,62.599998,68.610001,68.610001,1657900
2020-06-16,71.959999,72.070000,68.120003,69.019997,69.019997,1650600
2020-06-17,69.309998,69.570000,66.879997,66.930000,66.930000,1177200
2020-06-18,66.110001,67.620003,65.410004,66.360001,66.360001,1608900
2020-06-19,66.919998,68.379997,64.970001,66.139999,66.139999,1946700
2020-06-22,66.050003,66.059998,63.320000,63.910000,63.910000,1921200
2020-06-23,64.500000,68.139999,63.549999,68.129997,68.129997,1826800
2020-06-24,67.500000,67.930000,63.049999,65.610001,65.610001,2659600
2020-06-25,64.820000,65.610001,63.070000,64.870003,64.870003,1453000
2020-06-26,64.269997,64.359001,60.860001,61.619999,61.619999,3095900
2020-06-29,62.279999,62.400002,57.740002,59.520000,59.520000,3415300
2020-06-30,59.020000,60.779999,58.029999,60.570000,60.570000,1579800
2020-07-01,61.730000,64.610001,61.220001,62.189999,62.189999,1709100
2020-07-02,63.779999,64.089996,60.380001,60.470001,60.470001,1206700
2020-07-06,61.810001,62.700001,60.410000,61.590000,61.590000,1420700
